[ T-Track ]
    title = He-3 有効ガス 内中性子フラックス
     mesh =  reg            # mesh type is region-wise
      reg = 1
   e-type =    3            # e-mesh is log given by emin, emax and ne
     emin =  1.0000000E-09  # minimum value of e-mesh points
     emax =   10000.00      # maximum value of e-mesh points
#    edel =  0.3741701      # mesh width of e-mesh points
       ne =     80          # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           1.00000E-09  1.45378E-09  2.11349E-09  3.07256E-09  4.46684E-09
#           6.49382E-09  9.44061E-09  1.37246E-08  1.99526E-08  2.90068E-08
#           4.21697E-08  6.13056E-08  8.91251E-08  1.29569E-07  1.88365E-07
#           2.73842E-07  3.98107E-07  5.78762E-07  8.41395E-07  1.22321E-06
#           1.77828E-06  2.58523E-06  3.75837E-06  5.46387E-06  7.94328E-06
#           1.15478E-05  1.67880E-05  2.44062E-05  3.54813E-05  5.15822E-05
#           7.49894E-05  1.09018E-04  1.58489E-04  2.30409E-04  3.34965E-04
#           4.86968E-04  7.07946E-04  1.02920E-03  1.49624E-03  2.17520E-03
#           3.16228E-03  4.59727E-03  6.68344E-03  9.71628E-03  1.41254E-02
#           2.05353E-02  2.98538E-02  4.34010E-02  6.30957E-02  9.17276E-02
#           1.33352E-01  1.93865E-01  2.81838E-01  4.09732E-01  5.95662E-01
#           8.65964E-01  1.25893E+00  1.83021E+00  2.66073E+00  3.86812E+00
#           5.62341E+00  8.17523E+00  1.18850E+01  1.72783E+01  2.51189E+01
#           3.65174E+01  5.30884E+01  7.71792E+01  1.12202E+02  1.63117E+02
#           2.37137E+02  3.44747E+02  5.01187E+02  7.28618E+02  1.05925E+03
#           1.53993E+03  2.23872E+03  3.25462E+03  4.73151E+03  6.87860E+03
#           1.00000E+04
     unit =    1            # unit is [1/cm^2/source]
 material =  all            # (D=all) number of specific material
     axis =     eng            # axis of output
     file = neutron_he3.out  # file name of output for the above axis
     part =  neutron  
# kf/name :  2112     
   epsout =    1            # (D=0) generate eps file by ANGEL
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :          87 (  0)           0 (  0)          87 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   reg =      1

x: Energy [MeV/n]
y: Flux [1/cm^2/source]              
p: xlog ylog afac(0.8) form(0.9)
h: n            x            y(neutron ),hh0l n  
#  e-lower      e-upper        neutron   r.err 
   1.0000E-09   1.4538E-09   0.0000E+00  0.0000
   1.4538E-09   2.1135E-09   0.0000E+00  0.0000
   2.1135E-09   3.0726E-09   1.5698E-06  0.8327
   3.0726E-09   4.4668E-09   3.1535E-06  0.4815
   4.4668E-09   6.4938E-09   5.4747E-06  0.5477
   6.4938E-09   9.4406E-09   6.0691E-06  0.5312
   9.4406E-09   1.3725E-08   1.7764E-05  0.3170
   1.3725E-08   1.9953E-08   5.6920E-05  0.2541
   1.9953E-08   2.9007E-08   1.2138E-04  0.1715
   2.9007E-08   4.2170E-08   2.1325E-04  0.1441
   4.2170E-08   6.1306E-08   3.8111E-04  0.1255
   6.1306E-08   8.9125E-08   4.2633E-04  0.1289
   8.9125E-08   1.2957E-07   3.6279E-04  0.1574
   1.2957E-07   1.8836E-07   1.9020E-04  0.2245
   1.8836E-07   2.7384E-07   1.0665E-04  0.2806
   2.7384E-07   3.9811E-07   1.0239E-04  0.4433
   3.9811E-07   5.7876E-07   2.5047E-04  0.2817
   5.7876E-07   8.4140E-07   2.2709E-04  0.2940
   8.4140E-07   1.2232E-06   1.6942E-04  0.3632
   1.2232E-06   1.7783E-06   3.0953E-04  0.2829
   1.7783E-06   2.5852E-06   4.0465E-04  0.2798
   2.5852E-06   3.7584E-06   3.2677E-04  0.2741
   3.7584E-06   5.4639E-06   3.6899E-04  0.3393
   5.4639E-06   7.9433E-06   1.1807E-03  0.2137
   7.9433E-06   1.1548E-05   1.1341E-03  0.2718
   1.1548E-05   1.6788E-05   9.2087E-04  0.2830
   1.6788E-05   2.4406E-05   1.4667E-03  0.2759
   2.4406E-05   3.5481E-05   1.4798E-03  0.3215
   3.5481E-05   5.1582E-05   2.0054E-03  0.2634
   5.1582E-05   7.4989E-05   1.2351E-03  0.2713
   7.4989E-05   1.0902E-04   1.9248E-03  0.2598
   1.0902E-04   1.5849E-04   5.8456E-03  0.2347
   1.5849E-04   2.3041E-04   2.4650E-03  0.2472
   2.3041E-04   3.3497E-04   2.0348E-03  0.2577
   3.3497E-04   4.8697E-04   2.4426E-03  0.3451
   4.8697E-04   7.0795E-04   3.3786E-03  0.2356
   7.0795E-04   1.0292E-03   3.8005E-03  0.2330
   1.0292E-03   1.4962E-03   5.6805E-03  0.2356
   1.4962E-03   2.1752E-03   6.8617E-03  0.1961
   2.1752E-03   3.1623E-03   6.9791E-03  0.2885
   3.1623E-03   4.5973E-03   5.7434E-03  0.2574
   4.5973E-03   6.6834E-03   8.2606E-03  0.1961
   6.6834E-03   9.7163E-03   5.3105E-03  0.2269
   9.7163E-03   1.4125E-02   7.4898E-03  0.2407
   1.4125E-02   2.0535E-02   6.5210E-03  0.2124
   2.0535E-02   2.9854E-02   9.0097E-03  0.2277
   2.9854E-02   4.3401E-02   6.9760E-03  0.2590
   4.3401E-02   6.3096E-02   1.2218E-02  0.2347
   6.3096E-02   9.1728E-02   1.3807E-02  0.2096
   9.1728E-02   1.3335E-01   1.2001E-02  0.2207
   1.3335E-01   1.9387E-01   1.3434E-02  0.1706
   1.9387E-01   2.8184E-01   1.8142E-02  0.1716
   2.8184E-01   4.0973E-01   1.7138E-02  0.1470
   4.0973E-01   5.9566E-01   2.1273E-02  0.1528
   5.9566E-01   8.6596E-01   3.1755E-02  0.1150
   8.6596E-01   1.2589E+00   2.8615E-02  0.1306
   1.2589E+00   1.8302E+00   2.6149E-02  0.1115
   1.8302E+00   2.6607E+00   2.5254E-02  0.1224
   2.6607E+00   3.8681E+00   2.5534E-02  0.1191
   3.8681E+00   5.6234E+00   1.6698E-02  0.1804
   5.6234E+00   8.1752E+00   1.6329E-02  0.1692
   8.1752E+00   1.1885E+01   1.1664E-02  0.2108
   1.1885E+01   1.7278E+01   6.1767E-03  0.2707
   1.7278E+01   2.5119E+01   6.1064E-03  0.3793
   2.5119E+01   3.6517E+01   5.4199E-03  0.3718
   3.6517E+01   5.3088E+01   7.9258E-03  0.6823
   5.3088E+01   7.7179E+01   6.7985E-03  0.6541
   7.7179E+01   1.1220E+02   1.0935E-03  1.0000
   1.1220E+02   1.6312E+02   1.8773E-03  0.6931
   1.6312E+02   2.3714E+02   0.0000E+00  0.0000
   2.3714E+02   3.4475E+02   1.0345E-02  1.0000
   3.4475E+02   5.0119E+02   1.8182E-03  1.0000
   5.0119E+02   7.2862E+02   0.0000E+00  0.0000
   7.2862E+02   1.0593E+03   0.0000E+00  0.0000
   1.0593E+03   1.5399E+03   0.0000E+00  0.0000
   1.5399E+03   2.2387E+03   0.0000E+00  0.0000
   2.2387E+03   3.2546E+03   0.0000E+00  0.0000
   3.2546E+03   4.7315E+03   0.0000E+00  0.0000
   4.7315E+03   6.8786E+03   0.0000E+00  0.0000
   6.8786E+03   1.0000E+04   0.0000E+00  0.0000

#   sum over                 4.4177E-01  0.0421

'no. =  1,  reg  =      1'
msuc: {\huge He-3 有効ガス 内中性子フラックス}
msdr: {\it plotted by \ANGEL \version}
msdl: {\it calculated by \PHITS  3.36}
wt: s(0.7)
\vspace{-3}
   vol  &=&   1.0000E+00 [cm^3]
e:
 
# Information for Restart Calculation
# This calculation was newly started
# istdev =  2 # 1:Batch variance, 2:History variance
# resc2  = 3.65152207510486842E+04 # Total source weight or Total source weight / maxcas
# resc3  = 4.00000000000000000E+05 # Total history number or Total batch number
# maxcas =       20000 # History / Batch, only used for istdev=1
# bitrseed = 0101001111100011001000010000110000110111000010100111010111101100 # bit data of rseed
